,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1798,CHEMBL3805851,O=S(=O)(c1ccc2nsnc2c1)N1CCCC(Cn2ccnc2)C1,active,363.4680000000001,1.9887,0.0,7.0,8.148741651280925
1799,CHEMBL3804849,O=C(O)c1cc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)ccc1O,active,365.41100000000006,1.3877999999999995,2.0,6.0,6.469672210221914
1800,CHEMBL3805678,COc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)c(OC)c1,active,365.4550000000001,2.0012,0.0,6.0,6.8823973083099155
1801,CHEMBL3806282,N#Cc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)c(Cl)c1,active,364.85800000000006,2.509080000000001,0.0,5.0,7.101823516502323
1802,CHEMBL3806159,O=S(=O)(c1ccc(F)c(F)c1)N1CCCC(Cn2ccnc2)C1,active,341.38300000000004,2.2622,0.0,4.0,7.3655227298392685
1803,CHEMBL3806046,N#Cc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1,active,330.413,1.85568,0.0,5.0,7.442492798094342
1804,CHEMBL3805839,O=S(=O)(c1ccc(F)c(F)c1F)N1CCCC(Cn2ccnc2)C1,active,359.373,2.401300000000001,0.0,4.0,7.336299074610352
1805,CHEMBL3805814,COc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1Br,active,414.32500000000005,2.7551000000000014,0.0,5.0,8.214670164989233
1806,CHEMBL3805149,COc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1OC,active,365.4550000000001,2.0012,0.0,6.0,7.375717904164332
1807,CHEMBL3805048,O=S(=O)(c1ccc(F)cc1)N1CCCC(Cn2ccnc2)C1,active,323.393,2.1231,0.0,4.0,7.291579099865287
1808,CHEMBL3806185,Cc1cc(F)ccc1S(=O)(=O)N1CCCC(Cn2ccnc2)C1,active,337.42,2.431520000000001,0.0,4.0,7.317854923626168
1809,CHEMBL3804993,COc1cc([N+](=O)[O-])ccc1S(=O)(=O)N1CCCC(Cn2ccnc2)C1,active,380.42600000000016,1.9008,0.0,7.0,6.88907375773358
1810,CHEMBL3805657,CS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1,active,383.49500000000006,1.3874999999999993,0.0,6.0,7.317854923626168
1811,CHEMBL3805008,O=[N+]([O-])c1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1C(F)(F)F,active,418.397,2.9110000000000014,0.0,6.0,7.79317412396815
1812,CHEMBL3805388,COc1c(C)cc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)c(C)c1C,active,377.5100000000001,2.917860000000001,0.0,5.0,7.345823458122039
1813,CHEMBL3806075,COc1c(C)cc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)cc1C,active,363.48300000000006,2.609440000000001,0.0,5.0,7.675717544702307
1814,CHEMBL3805820,COc1ccc(S(=O)(=O)N2CCCC(Cn3ccnc3)C2)c(C)c1C,active,363.4830000000001,2.609440000000001,0.0,5.0,7.228412519118745
1815,CHEMBL3805539,O=S(=O)(c1ccc(OC2CCCC2)c(F)c1)N1CCCC(Cn2ccnc2)C1,active,407.51100000000014,3.4445000000000023,0.0,5.0,7.655607726314889
1816,CHEMBL3805733,O=S(=O)(c1ccc(OC2CCCC2)cc1)N1CCCC(Cn2ccnc2)C1,active,389.52100000000013,3.3054000000000023,0.0,5.0,7.85078088734462
1817,CHEMBL489,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,inactive,387.523,5.701700000000005,1.0,3.0,3.2757240484568637
1818,CHEMBL3818343,N#Cc1ccc(C(Cc2ccc(OS(N)(=O)=O)c(Br)c2)n2cncn2)cc1,active,448.302,2.3266800000000005,1.0,7.0,9.0
1819,CHEMBL3818279,Fc1ccc(-c2cc(-n3cccc3)c3ccccc3n2)cc1,active,288.32500000000005,4.831600000000003,0.0,2.0,6.0968557295904615
1820,CHEMBL3818442,C[C@]12Cc3cc[nH]c3C(=O)[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,active,327.468,3.973200000000003,2.0,2.0,6.290645224165604
1821,CHEMBL3818725,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)C(n3ccnc3)C[C@@H]12,active,350.46200000000005,3.911100000000003,0.0,4.0,6.774432286560529
1822,CHEMBL3819184,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)C(n3ccnc3)C[C@@H]12,active,352.478,4.135100000000003,0.0,4.0,6.744486287180466
1823,CHEMBL3819549,C=CC[C@@H]1CC2=CC(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,active,326.4800000000001,4.457400000000004,1.0,2.0,6.346690987061521
1824,CHEMBL3818338,C=CC[C@@H]1CC2=CCCC[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,active,312.49700000000007,5.710600000000006,0.0,1.0,6.124880834537432
1825,CHEMBL3818728,C=CC[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,active,326.4800000000001,4.889600000000005,0.0,2.0,6.229074385361001
1826,CHEMBL3818720,COc1ccc2c(Cc3ccccc3)c(-c3ccc(Cl)cc3)c(=O)oc2c1,active,376.83900000000017,5.712800000000003,0.0,3.0,7.096367483915762
1827,CHEMBL3827037,COc1cc(C2CC(=O)Oc3cc4c(cc32)OCO4)cc(OC)c1OC(C)=O,inactive,386.35600000000017,2.798800000000001,0.0,8.0,4.917211040487787
1829,CHEMBL3961452,CCC(=C(c1ccc(N)cc1)c1ccc(NCC(N)=O)cc1)c1ccc([N+](=O)[O-])cc1,active,416.4810000000001,4.443300000000002,3.0,5.0,6.542118103266008
1830,CHEMBL3961033,CC(=C(c1ccc(N)cc1)c1ccc(NCC(N)=O)cc1)c1ccc([N+](=O)[O-])cc1,active,402.4540000000001,4.053200000000002,3.0,5.0,6.190171038932114
1832,CHEMBL3944017,CCC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc(N)cc1,active,329.44700000000006,4.802300000000002,3.0,3.0,7.8696662315049934
1833,CHEMBL3916057,CC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc(N)cc1,active,315.4200000000001,4.412200000000001,3.0,3.0,6.751536282448968
1834,CHEMBL3948254,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(N)cc1,active,331.415,5.049100000000004,3.0,3.0,8.050609993355087
1835,CHEMBL3977491,CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(N)cc1,active,317.38800000000003,4.659000000000003,3.0,3.0,6.638083381331357
1836,CHEMBL3905734,CCC(=C(c1ccc(N)cc1)c1ccc(N)cc1)c1ccc([N+](=O)[O-])cc1,active,359.4290000000001,5.128300000000003,2.0,4.0,7.205511953340831
